namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
KOTA BANDA ACEH,E_FOTO WARNA_IRMAWAN_ACEH 1.jpg,Partai Kebangkitan Bangsa,28568,1,"H. IRMAWAN, S.Sos, MM",Laki-Laki
NAGAN RAYA,E_FOTO WARNA_SAYED MUSTAFA USAB AL IDROES_ACEH 1 (5).jpg,Partai Kebangkitan Bangsa,23123,2,SAYED MUSTAFA USAB AL IDROES,Laki-Laki
ACEH BESAR,E_FOTO_MAHDALENA_ACEH 1.jpg,Partai Kebangkitan Bangsa,28712,3,MAHDALENA,Perempuan
ACEH SELATAN,E_FOTO WARNA_T NASRUDDIN_ACEH 1.jpg,Partai Kebangkitan Bangsa,161680,4,T. NASRUDDIN,Laki-Laki
JAKARTA TIMUR,E_FOTO_KHAIRULLAH_ACEH 1.jpg,Partai Kebangkitan Bangsa,39274,5,KHAIRULLAH,Laki-Laki
ACEH BESAR,E_FOTO_IDAWATI_ACEH 1.jpg,Partai Kebangkitan Bangsa,28666,6,"IDAWATI, S.E",Perempuan
KOTA BANDA ACEH,E_foto warna_suharni bustami_Aceh 1_001.jpg,Partai Kebangkitan Bangsa,21246,7,"SUHARNI BUSTAMI, S.Pd",Perempuan
KOTA TANGERANG SELATAN,E-FOTO_MAHFUDZ_ACEH 2.jpg,Partai Kebangkitan Bangsa,293954,1,"MAHFUZD, SE",Laki-Laki
JAKARTA SELATAN,E_foto warna_sayuti abu bakar_aceh 2.jpg,Partai Kebangkitan Bangsa,22982,2,"SAYUTI, SH.MH",Laki-Laki
KOTA BANDA ACEH,E_foto warna_sri ariana ningsih_aceh 2.jpg,Partai Kebangkitan Bangsa,21284,3,SRI ARIANA NINGSIH,Perempuan
BIREUEN,FOTO 4X6 WARNA_001.jpg,Partai Kebangkitan Bangsa,300266,4,RUSLAN M. DAUD,Laki-Laki
ACEH BESAR,E-FOTO 4X6 WARNA_RAHMI ABDI_ACEH II - Copy.jpg,Partai Kebangkitan Bangsa,23192,5,RAHMI ABDI,Perempuan
ACEH BESAR,E-FOTO 4X6_FAISHAL RIDHA_ACEH II.JPG,Partai Kebangkitan Bangsa,37499,6,"FAISAL RIDHA, S.Ag., MM",Laki-Laki
JAKARTA SELATAN,E-FOTO WARNA 4X6_DITA INDAH SARI_SUMUT 1_001.jpg,Partai Kebangkitan Bangsa,213505,1,DITA INDAH SARI,Perempuan
GRESIK,E_PAS PHOTO 4X6_SAHRIL TUMANGGOR_SUMUT 1.jpg,Partai Kebangkitan Bangsa,21235,2,"SAHRIL TUMANGGOR, S.E., S.H., M.H.",Laki-Laki
KOTA MEDAN,E-FOTO 4X6_SYAFII SIREGAR_SUMUT 1.jpg,Partai Kebangkitan Bangsa,44878,3,"DR. H. SYAFII SIREGAR, MA",Laki-Laki
KOTA MEDAN,E-PAS FOTO 4X6_H. HARUN_SUMUT 1.jpg,Partai Kebangkitan Bangsa,51902,4,"H. HARUN, SH, MH",Laki-Laki
JAKARTA TIMUR,E-Pas Photo 4X6_Mardiana Bugis_SUMUT 1.JPG,Partai Kebangkitan Bangsa,22414,5,"MARDIANA BUGIS, S.E",Perempuan
DELI SERDANG,E-FOTO 4X6_ABDUL MANAF_SUMUT 1.jpg,Partai Kebangkitan Bangsa,119071,6,"ABDUL MANAF, S.Pd.I",Laki-Laki
SERDANG BEDAGAI,E_Pas Photo 4x6_Dahril Asmy_SUMUT 1.jpg,Partai Kebangkitan Bangsa,21191,7,"DAHRIL ASMY, S.T",Laki-Laki
KOTA MEDAN,E_PAS PHOTO 4X6_ZAKARIA LUBIS_SUMUT 1.jpg,Partai Kebangkitan Bangsa,214624,8,"Dr. ZAKARIA LUBIS, S.Fil.I, MA.Hum",Laki-Laki
KOTA MEDAN,E_PAS PHOTO 4X6_RINA YUGO KASNI_SUMUT 1.jpg,Partai Kebangkitan Bangsa,22673,9,"RINA YUGO KASNI, S,Pd, S.E, M.M",Perempuan
KOTA BINJAI,E-foto 4x6_DELLY MAHFUZAR_SUMUT 1.JPG,Partai Kebangkitan Bangsa,124770,10,DELLY MAHFUZAR,Laki-Laki
DELI SERDANG,E_POTO WARNA_MARWAN DASOPANG_SUMUT 2.jpg,Partai Kebangkitan Bangsa,22945,1,MARWAN DASOPANG,Laki-Laki
KOTA MEDAN,E-POTO_ANDRI ISMAIL PUITA NASUTION_SUMUT2.jpeg,Partai Kebangkitan Bangsa,29347,2,ANDRI ISMAIL PUTRA NASUTION,Laki-Laki
BEKASI,E-POTO_EPRI WAHDIYAH NASUTION_SUMUT2.jpg,Partai Kebangkitan Bangsa,26042,3,"EPRI WAHDIYAH NASUTION, S.Ag",Perempuan
KOTA MEDAN,E-POTO 4X6_ASMADI LUBIS_SUMUT2.jpeg,Partai Kebangkitan Bangsa,106648,4,"ASMADI LUBIS, S.H,M.Kn",Laki-Laki
JAKARTA TIMUR,E-Foto_Junjungan Gogo_sumut II.jpeg,Partai Kebangkitan Bangsa,22964,5,"JUNJUNGAN GOGO MANURUNG, S.E., M.M",Laki-Laki
MANDAILING NATAL,E-FOTO_SYAFRIDA AYUDHIA.JPG,Partai Kebangkitan Bangsa,29303,6,SYAFRIDA AYUDHIA,Perempuan
LABUHANBATU SELATAN,E-POTO_LINA HUTAGALUNG_SUMUT2.jpg,Partai Kebangkitan Bangsa,52447,7,LINA HUTAGALUNG,Perempuan
JAKARTA BARAT,E-poto_CANRA KRISNA JAYA_SUMUT2.jpg,Partai Kebangkitan Bangsa,39574,8,"CANRA KRISNA JAYA, S.Sos.I. MA.Hum",Laki-Laki
KOTA TANGERANG SELATAN,E-POTO_Raidong Habibi Rambe_SUMUT2.jpg,Partai Kebangkitan Bangsa,39503,9,"RAIDONG HABIBI RAMBE, S.Fil.I",Laki-Laki
PADANG LAWAS UTARA,E-POTO_H. Amran Saleh Siregar_SUMUT2.jpg,Partai Kebangkitan Bangsa,25618,10,H.AMRAN SALEH SIREGAR,Laki-Laki
JAKARTA PUSAT,E-FOTO_RAZMAN ARIF_SUMUT III.jpg,Partai Kebangkitan Bangsa,29434,1,RAZMAN ARIF,Laki-Laki
KOTA MEDAN,E-PAS PHOTO 4X6_IMRAN MUCHTAR_SUMUT III.jpeg,Partai Kebangkitan Bangsa,69105,2,"IMRAN MUCHTAR, BSC, SH",Laki-Laki
JAKARTA SELATAN,E-FOTO_DAMAI YONA NAINGGOLAN_SUMUT III.jpg,Partai Kebangkitan Bangsa,22585,3,DAMAI YONA NAINGGOLAN,Perempuan
KOTA BINJAI,E-FOTO 4X6 WARNA_H.SURATMAN_SUMUT III.JPG,Partai Kebangkitan Bangsa,106306,4,"H. SURATMAN, SP",Laki-Laki
SIMALUNGUN,E-FOTO 4X6_PARDAMEAN SIREGAR_SUMUT III.jpg,Partai Kebangkitan Bangsa,29416,5,"PARDAMEAN SIREGAR, S.P., M.A.P.",Laki-Laki
KOTA PEMATANGSIANTAR,E-FOTO_SEVEN SIMANJUNTAK_SUMUT III.jpg,Partai Kebangkitan Bangsa,23265,6,"SEVEN SIMANJUNTAK, S.Kep., Ners.",Perempuan
KOTA MEDAN,E-foto_A.Jabidi Ritonga_SUMUT III.jpg,Partai Kebangkitan Bangsa,25534,7,A. JABIDI RITONGA,Laki-Laki
LABUHANBATU,E-FOTO_HERLINA NASUTION_SUMUT III.jpg,Partai Kebangkitan Bangsa,23160,8,HERLINA NASUTION,Perempuan
KOTA MEDAN,E-FOTO 4X6 WARNA_OK ZULKIFLI_SUMUT III.JPG,Partai Kebangkitan Bangsa,143292,9,OK ZULKIFLIE,Laki-Laki
LAMONGAN,E-FOTO 4X6 WARNA_MU'AD AMSYARI_SUMUT III.jpg,Partai Kebangkitan Bangsa,43317,10,MU'AD AMSYARI,Laki-Laki
KOTA PADANG,E-FOTO BERWARNA 4X6_AZWANDI RAHMAN_SUMBAR1.jpg,Partai Kebangkitan Bangsa,21016,1,"DRS. AZWANDI RAHMAN, M.M.",Laki-Laki
KOTA BEKASI,E-FOTO BERWARNA 4X6_SUHERMAN_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,77717,2,H. SUHERMAN,Laki-Laki
KOTA SEMARANG,E-FOTO BERWARNA 4X6_NOFRIMAYARTI_SUMBAR1.jpg,Partai Kebangkitan Bangsa,53343,3,NOFRIMAYARTI,Perempuan
KOTA PADANG,E-FOTO BERWARNA 4X6_M. HIDAYAT_SUMBAR I.jpg,Partai Kebangkitan Bangsa,203351,4,"M. HIDAYAT, S.E",Laki-Laki
DHARMASRAYA,E_FOTO BERWARNA 4X6_KASTIM_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,40375,5,KASTIM,Laki-Laki
KOTA PADANG,E-FOTO 4X6 BERWARNA_MEIDYA KASMILA_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,142698,6,MEIDYA KASMILA,Perempuan
PESISIR SELATAN,E-FOTO 4X6 BERWARNA_ Drs. H. FAUZI_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,28987,7,Drs. H. FAUZI,Laki-Laki
BOGOR,E-FOTO 4X6 BERWARNA_ELIN NUR_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,118591,8,"ELIN NUR ASLICHAH, S.PD.I",Perempuan
AGAM,E-FOTO 4X6 BERWARNA_H.FEBBY DT.BANGSO_SUMBAR 2.jpg,Partai Kebangkitan Bangsa,107448,1,H. FEBBY DATUAK BANGSO,Laki-Laki
PADANG PARIAMAN,E-FOTO 4X6 BERWARNA_JON KENEDI_SUMBAR II.jpg,Partai Kebangkitan Bangsa,29006,2,JON KENEDI M.,Laki-Laki
PADANG PARIAMAN,E-FOTO BERWARNA 4X6_DESRI WENITA_SUMBAR II.jpg,Partai Kebangkitan Bangsa,54422,3,DESRI WENITA,Perempuan
KOTA PADANG,E-FOTO 4X6 BERWARNA_MUHAMMAD ZEN_SUMBAR 2.jpg,Partai Kebangkitan Bangsa,79261,4,"Dr. UST. H. MHD ZEN, S.A.P., M.A. DATUK PAMUNCAK",Laki-Laki
PASAMAN,E-FOTO BERWARNA 4X6_Drs. H. BURHANUDDIN PASARIBU_SUMBAR II...jpg,Partai Kebangkitan Bangsa,21047,5,DRS. H. BURHANUDDIN PASARIBU,Laki-Laki
LIMA PULUH KOTA,E-FOTO 4X6 BERWARNA_RITA MURNI_SUMBAR II.jpg,Partai Kebangkitan Bangsa,78894,6,Ir. RITA MURNI,Perempuan
KOTA DEPOK,E-FOTO 4X6 BERWARNA_MUHAMMAD LUKMAN EDY_RIAU 1.jpg,Partai Kebangkitan Bangsa,46353,1,"Ir. H. MUHAMAD LUKMAN EDY, M.Si.",Laki-Laki
KOTA PEKANBARU,E-PAS FOTO 4X6 BERWARNA_PURWAJI_RIAU 1.jpg,Partai Kebangkitan Bangsa,21115,2,PURWAJI,Laki-Laki
KOTA PEKANBARU,E-FOTO BERWARNA 4X6_DINAWATI_RIAU 1.jpg,Partai Kebangkitan Bangsa,71040,3,DINAWATI,Perempuan
KOTA DUMAI,E-FOTO BERWARNA 4X6_PATRIK TATANG_RIAU1.jpg,Partai Kebangkitan Bangsa,20981,4,"PATRIK TATANG, S.E",Laki-Laki
KOTA PEKANBARU,E-FOTO 4X6 BERWARNA_SRI WARDANI_RIAU 1.jpg,Partai Kebangkitan Bangsa,136489,5,"SRI WARDANI, M.Kes",Perempuan
KOTA PEKANBARU,E-FOTO BERWARNA 4X6_ERPA YENI_RIAU 1.jpg,Partai Kebangkitan Bangsa,71228,6,ERPA YENI,Perempuan
KOTA DEPOK,E-FOTO_AHMAD SAEJO BUDIAWAN_RIAU 1.jpeg,Partai Kebangkitan Bangsa,117639,7,AHMAD SAEJO BUDIAWAN,Laki-Laki
KOTA PEKANBARU,E_FOTO 4X6 BERWARNA_ABDUL WAHID_RIAU II..jpg,Partai Kebangkitan Bangsa,21252,1,"ABDUL WAHID, S.Pd.I",Laki-Laki
JAKARTA SELATAN,E-Foto 4x6 Berwarna_Mafirion_RIAU II....jpg,Partai Kebangkitan Bangsa,21214,2,H. MAFIRION,Laki-Laki
KOTA PEKANBARU,E-FOTO 4X6 BERWARNA_PRETTYA LESTARI_RIAU II..jpg,Partai Kebangkitan Bangsa,90225,3,"PRETTYA LESTARI, SE., M.Acc., Ak",Perempuan
KOTA PEKANBARU,E-FOTO BERWARNA 4X6_MUKHLISH MR_RIAU II..jpg,Partai Kebangkitan Bangsa,25326,4,"Drs. H. MUKHLISH. MR, M.Si",Laki-Laki
PELALAWAN,E-FOTO BERWARNA 4X6_GOGO TRI SAMOKO_RIAU II.jpg,Partai Kebangkitan Bangsa,183699,5,GOGO TRI SAMOKO,Laki-Laki
JAKARTA SELATAN,E-FOTO BERWARNA 4X6_HASNIATI_RIAU 2.jpg,Partai Kebangkitan Bangsa,26055,6,"HASNIATI, S.H., M.H.",Perempuan
KOTA JAMBI,E-FOTO 4X6 BERWARNA_SOFYAN ALI_JAMBI.jpg,Partai Kebangkitan Bangsa,39683,1,"SOFYAN ALI, S.Ag., S.H., M.Pd.",Laki-Laki
JAKARTA SELATAN,E-FOTO 4X6 BERWARNA_HANDAYANI_JAMBI...jpg,Partai Kebangkitan Bangsa,40111,2,"H. HANDAYANI, SKM., MPH",Laki-Laki
KOTA JAMBI,E-FOTO 4X6 BERWARNA_SITI RAHMI_JAMBI.jpg,Partai Kebangkitan Bangsa,39670,3,"SITI RAHMI, S.Sos.",Perempuan
BUNGO,E_FOTO 4X6 BERWARNA_SYAFRI_JAMBI.jpg,Partai Kebangkitan Bangsa,24985,4,"SYAFRI, S.H., M.H.",Laki-Laki
TANJUNG JABUNG BARAT,E-FOTO 4X6 BERWARNA_M. FADLI_JAMBI.jpg,Partai Kebangkitan Bangsa,24957,5,"H. MUHAMMAD FADLI, S.H.",Laki-Laki
MUARO JAMBI,E-FOTO BERWARNA 4X6_YULIWANI_JAMBI.jpg,Partai Kebangkitan Bangsa,39714,6,YULIWARNI,Perempuan
BATANGHARI,E-FOTO BERWARNA 4X6_KASPUL ANWAR_JAMBI.jpg,Partai Kebangkitan Bangsa,61488,7,"KASPUL ANWAR, S.E",Laki-Laki
KOTA JAMBI,E-FOTO 4X6 BERWARNA_FIKA NOVITA SARI_JAMBI.jpg,Partai Kebangkitan Bangsa,61362,8,"FIKA NOVITA SARI, S.Sos.",Perempuan
KOTA PALEMBANG,E-Foto_Ramlan Holdan_Sumsel I.jpg,Partai Kebangkitan Bangsa,61836,1,DRS. RAMLAN HOLDAN,Laki-Laki
JAKARTA TIMUR,E-Foto_H.Andriyanto_Sumsel I.jpg,Partai Kebangkitan Bangsa,22570,2,"H. ANDRIYANTO, SE. MM",Laki-Laki
KOTA PALEMBANG,E-Foto_Maryam Yusniharti_Sumsel I.jpg,Partai Kebangkitan Bangsa,61417,3,"MARYAM YUSNIHARTI, M.PD.I",Perempuan
KOTA PALEMBANG,E-Foto_Kuwatno_Sumsel I.jpg,Partai Kebangkitan Bangsa,92457,4,"DR. KUWATNO, S.PD., M.SI",Laki-Laki
BANYUASIN,E-Foto_Agus Salam_Sumsel I.jpg,Partai Kebangkitan Bangsa,295761,5,"H. AGUS SALAM, SH",Laki-Laki
KOTA PALEMBANG,E-Foto 4x6_Prihatinadya_Sumsel I.jpg,Partai Kebangkitan Bangsa,68737,6,PRIHARTINADYA,Perempuan
KOTA PALEMBANG,E-Foto_Intan Maya Sari_Sumsel I.jpg,Partai Kebangkitan Bangsa,62548,7,"INTAN MAYA SARI, S.PD.I",Perempuan
JAKARTA TIMUR,E-Foto_Nurkholis_Sumsel I.jpg,Partai Kebangkitan Bangsa,29483,8,"NURKHOLIS, SH., MA",Laki-Laki
JAKARTA SELATAN,E-Foto_Bertu Melas_Sumsel II.jpg,Partai Kebangkitan Bangsa,23310,1,"H. BERTU MERLAS, S.T",Laki-Laki
KOTA BANDUNG,E-Foto_Alfi Novtriyansyah Rustam_Sumsel II.jpg,Partai Kebangkitan Bangsa,25672,2,"ALFI NOVTRIANSYAH RUSTAM, S.AP",Laki-Laki
KOTA PALEMBANG,E-Foto_Frevy Gredsyely_Sumsel II.jpg,Partai Kebangkitan Bangsa,102412,3,FREVY GREDSYELY,Perempuan
KOTA PALEMBANG,E-Foto_Teguh Munir_Sumsel II_001.jpg,Partai Kebangkitan Bangsa,71103,4,TEGUH MUNIR,Laki-Laki
KOTA PALEMBANG,E-Foto_Mukti Sulaiman_Sumsel II.jpg,Partai Kebangkitan Bangsa,20986,5,"H. MUKTI SULAIMAN, SH. M.HUM",Laki-Laki
BANYUASIN,E-foto_Rizky Gusti Handayani_Sumsel II.jpg,Partai Kebangkitan Bangsa,61696,6,RISKY GUSTI HANDAYANI,Perempuan
OGAN ILIR,E-Foto_Adelia Damayanti_Sumsel II.jpg,Partai Kebangkitan Bangsa,60541,7,ADELIA DAMAYANTI,Perempuan
KOTA PAGAR ALAM,E-Foto_Indri Siswandi_Sumsel II.jpg,Partai Kebangkitan Bangsa,22427,8,INDRI  SISWANDI,Laki-Laki
KOTA PALEMBANG,E-Foto_Arna Suryati Anwar_Sumsel II.jpg,Partai Kebangkitan Bangsa,117745,9,"ARNA SURYATI, S.PD",Perempuan
JAKARTA SELATAN,E-FOTO 4X6_Eko Putro Sandjojo_Bengkulu.jpg,Partai Kebangkitan Bangsa,120135,1,EKO P SANDJOJO,Laki-Laki
REJANG LEBONG,E-Foto_Herliardo_Bengkulu.jpg,Partai Kebangkitan Bangsa,185826,2,"HERLIARDO, S.AG",Laki-Laki
JAKARTA SELATAN,E-Foto_4x6_Dewi Paramita_Bengkulu.jpg,Partai Kebangkitan Bangsa,189647,3,DEWI PARAMITA,Perempuan
LEBAK,E-Foto_Dena Anggari_Bengkulu.jpg,Partai Kebangkitan Bangsa,186805,4,DENA ANGGARI,Perempuan
KOTA BANDAR LAMPUNG,E-Foto_Hidir Ibrahim_Lampung I.jpg,Partai Kebangkitan Bangsa,28991,1,"HIDIR IBRAHIM, S.AG., M.SI",Laki-Laki
KOTA BANDAR LAMPUNG,E-Foto 5R_Muhammad Kadafi_Lampung I.jpg,Partai Kebangkitan Bangsa,21238,2,"DR. H. MUHAMMAD KADAFI, SH., MH",Laki-Laki
JAKARTA UTARA,E-Foto_Febri Diana_Lampung I_001.jpg,Partai Kebangkitan Bangsa,95706,3,"FEBRI DIANA, SHI",Perempuan
TANGGAMUS,E-Foto_A. Wahid Zamas_Lampung I.jpg,Partai Kebangkitan Bangsa,21334,4,"KH. A. WAHID ZAMAS, S.AG",Laki-Laki
KOTA METRO,E-Foto_Muhammad Ansori_Lampung I.jpeg,Partai Kebangkitan Bangsa,70100,5,"MUHAMAD ANSORI, S.H.I",Laki-Laki
KOTA METRO,E-Foto_Lilis Saadah_Lampung I.jpg,Partai Kebangkitan Bangsa,77260,6,"LILIS SA'ADAH, S.PD.I",Perempuan
KOTA BANDAR LAMPUNG,E-Foto_Mahendra Utama_Lampung I.jpg,Partai Kebangkitan Bangsa,188728,7,"MAHENDRA UTAMA, SH",Laki-Laki
JAKARTA PUSAT,E-Foto 4X6_Siti Maimunah_Lampung I.jpg,Partai Kebangkitan Bangsa,59713,8,"SITI MAIMUNAH, S.SOS.I, M.PD",Perempuan
KOTA BANDAR LAMPUNG,E-Foto_Ade Febri Yanthi Insyiah_Lampung I.jpg,Partai Kebangkitan Bangsa,54400,9,ADE FEBRI YANTHI INSYIAH,Perempuan
WAY KANAN,E-Foto_Menik Mahananing Timur_Lampung I.jpg,Partai Kebangkitan Bangsa,299637,10,"MENIK MAHANANING TIMUR, S.Pd.I",Perempuan
LAMPUNG TIMUR,E-Foto_Ela Siti Nuryamah_Lampung II.jpg,Partai Kebangkitan Bangsa,21477,1,"ELA SITI NURYAMAH, S.SOS.I",Perempuan
LAMPUNG TENGAH,E-Foto_Iskandar_Lampung II_.jpg,Partai Kebangkitan Bangsa,121551,2,"ISKANDAR, S.H",Laki-Laki
LAMPUNG TENGAH,E-Foto_Nur Cahayati_Lampung II.jpg,Partai Kebangkitan Bangsa,25522,3,"NUR CHAYATI, SH",Perempuan
WAY KANAN,E-Foto_Dani Utaria_Lampung II.jpg,Partai Kebangkitan Bangsa,21546,4,"H. DANI UTARIA, SH., MKN",Laki-Laki
LAMPUNG TENGAH,E-Foto_Umin Santoso_Lampung II.jpeg,Partai Kebangkitan Bangsa,95431,5,UMIN SANTOSO,Laki-Laki
TULANG BAWANG BARAT,E-Foto_Nikmatul Uluin_Lampung II.jpeg,Partai Kebangkitan Bangsa,122436,6,NIKMATUL ULUIN,Perempuan
TULANG BAWANG,E-Foto_Abdullah Nawawi_Lampung II.jpg,Partai Kebangkitan Bangsa,70993,7,ABDULLAH NAWAWI,Laki-Laki
LAMPUNG SELATAN,E-Foto_Muslih Zain_Lampung II.jpg,Partai Kebangkitan Bangsa,68078,8,MUSLIH ZAIN,Laki-Laki
LAMPUNG UTARA,E-Foto_Khoirul Anam_Lampung II.jpg,Partai Kebangkitan Bangsa,53293,9,"KH. MOH. KHOIRUL ANAM, S.AG",Laki-Laki
LAMPUNG TIMUR,E-Foto_Vivi Noviyanti_Sumsel II.jpeg,Partai Kebangkitan Bangsa,93498,10,VIVI NOVIYANTI,Perempuan
KOTA BATAM,E-FOTO BERWARNA 4X6_ABDUL BASYID_KEPRI.jpg,Partai Kebangkitan Bangsa,20897,1,"Drs. ABDUL BASYID HAS, M.Pd",Laki-Laki
KARIMUN,E-FOTO BERWARNA 4X6_SAMUEL BONAPARTE HUTAPEA_KEPRI.jpg,Partai Kebangkitan Bangsa,23271,2,"CAPT. SAMUEL BONAPARTE HUTAPEA, A.Md., S.E., S.H., M.H., M.Mar",Laki-Laki
KOTA BATAM,E-FOTO BERWARNA 4X6_ERNY TAMBING_KEPRI.jpg,Partai Kebangkitan Bangsa,28282,3,"ERNY TAMBING, S.Pd.AUD., M.Pd",Perempuan
KOTA BATAM,E-FOTO BERWARNA 4X6_RENNY YULIA ELSHA_KEPRI.jpg,Partai Kebangkitan Bangsa,20929,4,"RENNY YULIA ELSHA, S.Si., M.Pd.",Perempuan
KOTA BANDUNG,E-FOTO_ELLA M. GIRIKOMALA_JABAR l-001.jpg,Partai Kebangkitan Bangsa,47378,1,"Dra. Hj. ELLA M.GIRIKOMALA, M.M.PD.",Perempuan
BANDUNG,E-FOTO_DUDDY S.SUTANDI_JABAR l.jpg,Partai Kebangkitan Bangsa,25971,2,"H DUDDY S. SUTANDI, SE",Laki-Laki
KOTA DEPOK,E-FOTO_ACHMAD SONNY SURYANTO_JABAR l-001.jpg,Partai Kebangkitan Bangsa,28620,3,RADEN ACHMAD SONNY SURYANTO,Laki-Laki
KOTA BANDUNG,E-FOTO_H. NANANG SUGIRI_JABAR I.jpg,Partai Kebangkitan Bangsa,141885,4,"Drs. H. NANANG SUGIRI, MH",Laki-Laki
BANDUNG,E-FOTO_AI SUTRIANSIH_JABAR l.jpg,Partai Kebangkitan Bangsa,25677,5,"HJ. AI SUTRIANSIH, S.SOS, M.PD",Perempuan
KOTA BANDUNG,E-FOTO_ROBIANA DANI_JABAR l.jpg,Partai Kebangkitan Bangsa,117795,6,"ROBBIANA DANI AWALLUDIN, SE",Laki-Laki
KOTA BANDUNG,E-FOTO_IIS NOERY ALWANY_JABAR l-001.jpg,Partai Kebangkitan Bangsa,46332,7,HJ. IIS NOERY ALWANI,Perempuan
BANDUNG,4X6 H CUCUN.jpg,Partai Kebangkitan Bangsa,28842,1,"CUCUN AHMAD SYAMSURIJAL, S.Ag",Laki-Laki
BANDUNG,PAS PHOTO WARNA_Enung Dariah_JABAR II-1.jpg,Partai Kebangkitan Bangsa,40985,2,"HJ. ENUNG DARIAH R, M.PD.I",Perempuan
BANDUNG BARAT,PAS PHOTO_Ade Ratmadja_JABAR II.jpg,Partai Kebangkitan Bangsa,60835,3,DRS. ADE RATMADJA,Laki-Laki
BANDUNG,Photo 5R merah.jpg,Partai Kebangkitan Bangsa,29199,4,ENJANG HUDORI,Laki-Laki
BANDUNG,PAS PHOTO_Rosadi_JABAR II.jpg,Partai Kebangkitan Bangsa,78973,5,"H. ROSADI, S.Ag",Laki-Laki
PURWAKARTA,FOTO 2.jpg,Partai Kebangkitan Bangsa,32854,6,"NUNUNG NURJANAH, S.PD",Perempuan
BANDUNG BARAT,PAS PHOTO_Mustofa Hilmy_JABAR II.jpg,Partai Kebangkitan Bangsa,105570,7,MUSTOFA HILMY,Laki-Laki
BANDUNG,foto.jpg,Partai Kebangkitan Bangsa,31250,8,DRS. H. DEDEN HAMDAN M,Laki-Laki
BANDUNG BARAT,E-FOTO_ITA JULAEHA_JABAR II.jpg,Partai Kebangkitan Bangsa,106228,9,ITA JULAEHA,Perempuan
BANDUNG BARAT,FOTO.jpeg,Partai Kebangkitan Bangsa,240300,10,MUHAMAD RIFAL,Laki-Laki
JAKARTA SELATAN,POTO_NENG EEM_JABARIII.jpg,Partai Kebangkitan Bangsa,40689,1,NENG EEM MARHAMAH ZULFA HIZ,Perempuan
KARANGANYAR,FTO TRBARU-001.jpg,Partai Kebangkitan Bangsa,94799,2,H. OTONG ABDURRAHMAN,Laki-Laki
BANDUNG,FOTO_ADE_JABAR III.jpeg,Partai Kebangkitan Bangsa,96632,3,KH. ADE ABDUL AZIZ,Laki-Laki
KOTA BOGOR,foto_Koko_Jabar III.jpeg,Partai Kebangkitan Bangsa,33066,4,"IR. KOKO MURDOKOWIYOTO, MM",Laki-Laki
JAKARTA SELATAN,foto_bagus_jabar III.jpg,Partai Kebangkitan Bangsa,33139,5,H. BAGUS KARYANEGARA,Laki-Laki
KOTA BOGOR,FOTO_MEILANI_JABARIII.jpg,Partai Kebangkitan Bangsa,71432,6,MEI MEI MEILANI,Perempuan
JAKARTA TIMUR,foto_mariadi_jabariii.jpeg,Partai Kebangkitan Bangsa,104309,7,MARIADI,Laki-Laki
KOTA DEPOK,E-FOTO_DESTINAL ARMUNANTO_JABAR III.jpeg,Partai Kebangkitan Bangsa,214033,8,"DESTINAL ARMUNANTO, SH.,MM",Laki-Laki
CIANJUR,PAS PHOTO_Rima Mali'ah_JABAR III.jpeg,Partai Kebangkitan Bangsa,295250,9,RIMA YULIA MA'LIAH,Perempuan
INDRAMAYU,E-FOTO_RASTA WIGUNA_JABAR VIII.jpeg,Partai Kebangkitan Bangsa,71580,1,"DRS. H RASTA WIGUNA, M.SI",Laki-Laki
SUKABUMI,6.1. Pas Photo DRS.H.ADE YUSUF SF. 4X6 CM-4.jpg,Partai Kebangkitan Bangsa,32555,2,"H. ADE YUSUP, M.AG",Laki-Laki
JAKARTA TIMUR,PAS PHOTO WARNA_Sulis Setiowati_JABAR IV-1.jpg,Partai Kebangkitan Bangsa,143874,3,SULIS SETIOWATI,Perempuan
SUKABUMI,pas photo_Endang Jakatela_JABAR IV.jpg,Partai Kebangkitan Bangsa,220943,4,"DRS. H. ENDANG DJAKATELA, MM MSI",Laki-Laki
LOMBOK TIMUR,pas photo_Suprianto_JABAR IV.jpg,Partai Kebangkitan Bangsa,33065,5,"SUPRIATNO, S.T",Laki-Laki
JAKARTA TIMUR,PAS PHOTO WARNA_Manzila Maria Retno Mayangsari_JABAR IV-1.jpg,Partai Kebangkitan Bangsa,143785,6,MANZILA MARIA RETNO,Perempuan
KOTA TANGERANG SELATAN,Pas PHOTO_Tommy Kurniawan_JABAR V-1.jpg,Partai Kebangkitan Bangsa,117969,1,TOMMY KURNIAWAN,Laki-Laki
BOGOR,PAS HOTO WARNA_Ade Wardana_JABAR V.jpeg,Partai Kebangkitan Bangsa,159963,2,"ADE WARDHANA ADINATA, SE. MM",Laki-Laki
KOTA TANGERANG SELATAN,PAS PHOTO WARNA_Miftahul Janah_JABAR V.jpeg,Partai Kebangkitan Bangsa,161947,3,"Hj. MIFTAHUL JANAH, M.Si",Perempuan
