namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
KOTA TANGERANG SELATAN,photo_3674010111540001_img-20180711-wa0029.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,269304,7,"Drs. H. EDDY KUSUMA WIJAYA, S.H., M.H., M.M.",Laki-Laki
JAKARTA PUSAT,lina sulistiowati.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,269799,8,dr. LINA SULISTIAWATI,Perempuan
KOTA TANGERANG SELATAN,photo_3674062508640011_whatsapp_image_2018-07-11_at_10.29.25.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,302318,9,"Drs. H. ARSID, M.Si",Laki-Laki
JAKARTA PUSAT,santo widjaja.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,283734,10,SANTO WIDJAJA,Laki-Laki
TABANAN,Made Urip.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,24297,1,"Drs. I MADE URIP, M.Si",Laki-Laki
KOTA DENPASAR,Kesuma.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,75464,2,"I G. N. KESUMA KELAKAN, S.T,. M.Si",Laki-Laki
JAKARTA TIMUR,Putri Astrid.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,51242,3,"Dra. I G. AGUNG PUTRI ASTRID K., M.A.",Perempuan
KOTA DENPASAR,Rai.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,24560,4,"I GUSTI AGUNG RAI WIRAJAYA, S.E., M.M.",Laki-Laki
BULELENG,Foto Kariyasa.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,73921,5,"I KETUT KARIYASA ADNYANA, S.P.",Laki-Laki
KOTA DENPASAR,Diah Kartikasari.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,99725,6,KOMANG DIAH KARTIKASARI,Perempuan
GIANYAR,Foto Parta.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,69956,7,"I NYOMAN PARTA, S.H.",Laki-Laki
KOTA DENPASAR,Suwandewi.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,81551,8,"LUH PUTU SUWANDEWI AESCHLIMANN, S.Sos,. M.M.",Perempuan
KARANGASEM,Foto Sudirta.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,50921,9,"I WAYAN SUDIRTA, S.H.",Laki-Laki
LOMBOK BARAT,Foto Endang Yuliati.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,264656,1,"Dra. HJ. E. ENDANG YULIATY, M.Si",Perempuan
KOTA MATARAM,Foto Supardi.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,265190,2,"H. SUPARDI, S.H., M.Si",Laki-Laki
JAKARTA TIMUR,Foto Sena.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,22390,3,"DHARMASENA WIJANEGARA, S.E., M.M.",Laki-Laki
KOTA MATARAM,Foto Rachmat.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,90449,1,"H. RACHMAT HIDAYAT, S.H.",Laki-Laki
KOTA MATARAM,Foto Edy.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,92969,2,EDY SUKSMONO,Laki-Laki
KOTA MATARAM,Foto Wenny Astuti.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,265427,3,"Dr. E.Y. WENNY ASTUTI ACHWAN, M.Kes",Perempuan
JAKARTA SELATAN,Hakam.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,93140,4,"HAKAM ALI NIAZI, S.E.",Laki-Laki
LOMBOK UTARA,Foto Rospita.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,265721,5,ROSPITA DENING AYU,Perempuan
LOMBOK TENGAH,Foto Supardi Ramli.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,265955,6,SUPARDI RAMLI,Laki-Laki
LOMBOK TIMUR,Foto Suji Hardiani.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,266196,7,"SUJI HARDIANI, S.Pd",Perempuan
