namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin,idPartai,idDapil,idPro
MANDAILING NATAL,E-FOTO_SYAFRIDA AYUDHIA.JPG,Partai Kebangkitan Bangsa,29303,6,SYAFRIDA AYUDHIA,Perempuan,1,4,6728
LABUHANBATU SELATAN,E-POTO_LINA HUTAGALUNG_SUMUT2.jpg,Partai Kebangkitan Bangsa,52447,7,LINA HUTAGALUNG,Perempuan,1,4,6728
JAKARTA BARAT,E-poto_CANRA KRISNA JAYA_SUMUT2.jpg,Partai Kebangkitan Bangsa,39574,8,"CANRA KRISNA JAYA, S.Sos.I. MA.Hum",Laki-Laki,1,4,6728
KOTA TANGERANG SELATAN,E-POTO_Raidong Habibi Rambe_SUMUT2.jpg,Partai Kebangkitan Bangsa,39503,9,"RAIDONG HABIBI RAMBE, S.Fil.I",Laki-Laki,1,4,6728
PADANG LAWAS UTARA,E-POTO_H. Amran Saleh Siregar_SUMUT2.jpg,Partai Kebangkitan Bangsa,25618,10,H.AMRAN SALEH SIREGAR,Laki-Laki,1,4,6728
JAKARTA PUSAT,E-FOTO_RAZMAN ARIF_SUMUT III.jpg,Partai Kebangkitan Bangsa,29434,1,RAZMAN ARIF,Laki-Laki,1,5,6728
KOTA MEDAN,E-PAS PHOTO 4X6_IMRAN MUCHTAR_SUMUT III.jpeg,Partai Kebangkitan Bangsa,69105,2,"IMRAN MUCHTAR, BSC, SH",Laki-Laki,1,5,6728
JAKARTA SELATAN,E-FOTO_DAMAI YONA NAINGGOLAN_SUMUT III.jpg,Partai Kebangkitan Bangsa,22585,3,DAMAI YONA NAINGGOLAN,Perempuan,1,5,6728
KOTA BINJAI,E-FOTO 4X6 WARNA_H.SURATMAN_SUMUT III.JPG,Partai Kebangkitan Bangsa,106306,4,"H. SURATMAN, SP",Laki-Laki,1,5,6728
SIMALUNGUN,E-FOTO 4X6_PARDAMEAN SIREGAR_SUMUT III.jpg,Partai Kebangkitan Bangsa,29416,5,"PARDAMEAN SIREGAR, S.P., M.A.P.",Laki-Laki,1,5,6728
KOTA PEMATANGSIANTAR,E-FOTO_SEVEN SIMANJUNTAK_SUMUT III.jpg,Partai Kebangkitan Bangsa,23265,6,"SEVEN SIMANJUNTAK, S.Kep., Ners.",Perempuan,1,5,6728
KOTA MEDAN,E-foto_A.Jabidi Ritonga_SUMUT III.jpg,Partai Kebangkitan Bangsa,25534,7,A. JABIDI RITONGA,Laki-Laki,1,5,6728
LABUHANBATU,E-FOTO_HERLINA NASUTION_SUMUT III.jpg,Partai Kebangkitan Bangsa,23160,8,HERLINA NASUTION,Perempuan,1,5,6728
KOTA MEDAN,E-FOTO 4X6 WARNA_OK ZULKIFLI_SUMUT III.JPG,Partai Kebangkitan Bangsa,143292,9,OK ZULKIFLIE,Laki-Laki,1,5,6728
LAMONGAN,E-FOTO 4X6 WARNA_MU'AD AMSYARI_SUMUT III.jpg,Partai Kebangkitan Bangsa,43317,10,MU'AD AMSYARI,Laki-Laki,1,5,6728
KOTA PADANG,E-FOTO BERWARNA 4X6_AZWANDI RAHMAN_SUMBAR1.jpg,Partai Kebangkitan Bangsa,21016,1,"DRS. AZWANDI RAHMAN, M.M.",Laki-Laki,1,6,12920
KOTA BEKASI,E-FOTO BERWARNA 4X6_SUHERMAN_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,77717,2,H. SUHERMAN,Laki-Laki,1,6,12920
KOTA SEMARANG,E-FOTO BERWARNA 4X6_NOFRIMAYARTI_SUMBAR1.jpg,Partai Kebangkitan Bangsa,53343,3,NOFRIMAYARTI,Perempuan,1,6,12920
KOTA PADANG,E-FOTO BERWARNA 4X6_M. HIDAYAT_SUMBAR I.jpg,Partai Kebangkitan Bangsa,203351,4,"M. HIDAYAT, S.E",Laki-Laki,1,6,12920
DHARMASRAYA,E_FOTO BERWARNA 4X6_KASTIM_SUMBAR 1.jpg,Partai Kebangkitan Bangsa,40375,5,KASTIM,Laki-Laki,1,6,12920
